7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.265029
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.314918
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.384736
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.446432
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.520265
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.572108
Complete Duration,0:00:59.175967
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_5,2022-11-28 12:26:54.440126
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_5,2022-11-28 12:26:54.527640
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_5,2022-11-28 12:26:54.643438
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_5,2022-11-28 12:26:54.739151
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_5,2022-11-28 12:26:54.874965
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_5,2022-11-28 12:26:54.981145
Complete Duration,0:00:15.989790
7.9_raw.csv_filtered_by_correlation23_SNR34_Acceleration_1.5_all_replacement_strategy_4,2022-11-28 21:17:18.089862
7.9_raw.csv_filtered_by_correlation23_SNR34_acceleration_1.5_individual_replacement_strategy_4,2022-11-28 21:17:18.302092
7.6_raw.csv_filtered_by_correlation23_SNR34_Acceleration_1.5_all_replacement_strategy_4,2022-11-28 21:17:18.506324
7.6_raw.csv_filtered_by_correlation23_SNR34_acceleration_1.5_individual_replacement_strategy_4,2022-11-28 21:17:18.678310
7.2_raw.csv_filtered_by_correlation23_SNR34_Acceleration_1.5_all_replacement_strategy_4,2022-11-28 21:17:18.850477
7.2_raw.csv_filtered_by_correlation23_SNR34_acceleration_1.5_individual_replacement_strategy_4,2022-11-28 21:17:19.053581
Complete Duration,0:00:01.539762
7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-28 21:33:10.000370
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-28 21:33:10.062868
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-28 21:33:10.156910
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-28 21:33:10.219895
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-28 21:33:10.298356
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-28 21:33:10.361182
Complete Duration,0:00:00.540705
7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-28 21:34:42.219289
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-28 21:34:42.299370
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-28 21:34:42.384775
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-28 21:34:42.437307
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-28 21:34:42.557696
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-28 21:34:42.620070
Complete Duration,0:00:00.523551
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-11-28 21:46:15.269842
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-11-28 21:46:15.348368
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-11-28 21:46:15.434154
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-11-28 21:46:15.512421
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-11-28 21:46:15.641563
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-11-28 21:46:15.740181
Complete Duration,0:00:00.607460
7.9_raw.csv_filtered_by_correlation13_SNR34_Acceleration_1.5_all_replacement_strategy_3,2022-11-29 13:14:19.422556
7.9_raw.csv_filtered_by_correlation13_SNR34_acceleration_1.5_individual_replacement_strategy_3,2022-11-29 13:14:19.531930
7.6_raw.csv_filtered_by_correlation13_SNR34_Acceleration_1.5_all_replacement_strategy_3,2022-11-29 13:14:19.672702
7.6_raw.csv_filtered_by_correlation13_SNR34_acceleration_1.5_individual_replacement_strategy_3,2022-11-29 13:14:19.782692
7.2_raw.csv_filtered_by_correlation13_SNR34_Acceleration_1.5_all_replacement_strategy_3,2022-11-29 13:14:19.925776
